location,month,pLocalTransmissionAve,pLocalTransmissionMin,pLocalTransmissionMax,localcases
Little Rock,1/1/2014 0:00,0,0,0,0
Lyon,1/1/2014 0:00,0,0,0,0
Madrid,1/1/2014 0:00,0,0,0,0
Odessa,1/1/2014 0:00,0,0,0,0
Manaus,1/1/2014 0:00,0,0,0,0
Kansas City,1/1/2014 0:00,0,0,0,0
Chicago,1/1/2014 0:00,0,0,0,0
Memphis,1/1/2014 0:00,0,0,0,0
Mexico City,1/1/2014 0:00,0,0,0.01,0
Merida,1/1/2014 0:00,0,0,0,0
Monastir,1/1/2014 0:00,0,0,0,0
Milwaukee,1/1/2014 0:00,0,0,0,0
Monroe,1/1/2014 0:00,0,0,0,0
Montserrat,1/1/2014 0:00,0,0,0,0
Montpellier,1/1/2014 0:00,0,0,0,0
Minneapolis,1/1/2014 0:00,0,0,0,0
New Orleans,1/1/2014 0:00,0,0,0.04,0
Monterrey,1/1/2014 0:00,0,0,0,0
Maturin,1/1/2014 0:00,0,0,0,0
Montevideo,1/1/2014 0:00,0,0,0,0
Myrtle Beach,1/1/2014 0:00,0,0,0.01,0
Naples,1/1/2014 0:00,0,0,0,0
Nice,1/1/2014 0:00,0,0,0.02,0
Nantes,1/1/2014 0:00,0,0,0,0
Oklahoma City,1/1/2014 0:00,0,0,0,0
Omaha,1/1/2014 0:00,0,0,0,0
Norfolk,1/1/2014 0:00,0,0,0,0
Oran,1/1/2014 0:00,0,0,0,0
Paphos,1/1/2014 0:00,0,0,0,0
Perpignan,1/1/2014 0:00,0,0,0,0
Philadelphia,1/1/2014 0:00,0,0,0,0
Pittsburgh,1/1/2014 0:00,0,0,0,0
Palma de Mallorca,1/1/2014 0:00,0,0,0.01,0
Palermo,1/1/2014 0:00,0,0,0.01,0
Porlamar,1/1/2014 0:00,0,0,0,0
Pensacola,1/1/2014 0:00,0,0,0.01,0
Pau,1/1/2014 0:00,0,0,0,0
Providence,1/1/2014 0:00,0,0,0,0
Setif,1/1/2014 0:00,0,0,0,0
